,C,Kernel,p,q,Accuracy,False negative rate,False positive rate
330,5.0,rbf,11,6,0.8546099290780141,0.078125,0.2961647727272727
331,5.0,rbf,11,8,0.8404255319148937,0.1015625,0.2840909090909091
332,5.0,rbf,13,2,0.8652482269503546,0.09161931818181818,0.3338068181818182
333,5.0,rbf,13,4,0.8971631205673759,0.06960227272727272,0.34232954545454547
334,5.0,rbf,13,6,0.8936170212765957,0.07528409090909091,0.26704545454545453
335,5.0,rbf,13,8,0.8546099290780141,0.09446022727272728,0.27982954545454547
336,5.0,sigmoid,3,2,0.8404255319148937,0.19744318181818182,0.3494318181818182
337,5.0,sigmoid,3,4,0.8191489361702128,0.18821022727272727,0.2883522727272727
338,5.0,sigmoid,3,6,0.8156028368794326,0.1924715909090909,0.2599431818181818
339,5.0,sigmoid,3,8,0.7943262411347518,0.2059659090909091,0.3046875
340,5.0,sigmoid,5,2,0.8368794326241135,0.20383522727272727,0.25639204545454547
341,5.0,sigmoid,5,4,0.8226950354609929,0.17258522727272727,0.3117897727272727
342,5.0,sigmoid,5,6,0.8333333333333334,0.21235795454545456,0.2450284090909091
343,5.0,sigmoid,5,8,0.8049645390070922,0.20738636363636365,0.29545454545454547
344,5.0,sigmoid,7,2,0.7943262411347518,0.20738636363636365,0.2890625
345,5.0,sigmoid,7,4,0.8085106382978723,0.18394886363636365,0.30894886363636365
